ssh://anneke@devcube3:22/home/anneke/keras-gpu/bin/python3.6 -u /home/anneke/projects/uats/code/kits/preprocess.py
Case 57 (29, 213, 122, 41, 116, 327)
Case 58 (28, 261, 157, 52, 160, 353)
Case 59 (26, 245, 148, 48, 132, 245)
Case 60 (30, 239, 165, 32, 141, 268)
Case 61 (3, 269, 151, 43, 157, 354)
Case 62 (35, 381, 200, 41, 124, 299)
Case 63 (19, 268, 142, 40, 123, 313)
Case 64 (28, 248, 124, 33, 77, 255)
Case 65 (33, 265, 103, 43, 122, 353)
Case 66 (54, 290, 132, 38, 122, 315)
Case 67 (33, 196, 123, 34, 177, 274)
Case 68 (22, 211, 97, 37, 130, 293)
Case 69 (35, 206, 105, 38, 139, 286)
Case 70 (33, 215, 137, 43, 136, 290)
Case 71 (9, 289, 135, 35, 79, 247)
Case 72 (19, 238, 96, 44, 126, 256)
Case 73 (101, 221, 157, 47, 163, 294)
Case 74 (18, 246, 73, 43, 86, 301)
Case 75 (25, 249, 112, 38, 90, 247)
Case 76 (31, 191, 90, 37, 108, 277)
Case 77 (28, 199, 117, 50, 123, 264)
Case 78 (40, 281, 159, 52, 208, 381)
Case 79 (96, 181, 110, 37, 125, 273)
Case 80 (31, 292, 111, 42, 110, 261)
Case 81 (22, 275, 189, 51, 151, 333)
Case 82 (25, 242, 119, 42, 113, 261)
Case 83 (49, 272, 161, 45, 163, 353)
Case 84 (30, 314, 169, 56, 145, 349)
Case 85 (38, 253, 132, 43, 124, 297)
Case 86 (20, 310, 98, 41, 106, 330)
Case 87 (31, 241, 95, 37, 117, 295)
Case 88 (47, 144, 76, 24, 92, 180)
Case 89 (18, 321, 167, 42, 134, 288)
Case 90 (25, 254, 139, 36, 130, 282)
Case 91 (23, 200, 131, 56, 156, 302)
Case 92 (38, 130, 90, 43, 167, 307)
Case 93 (36, 244, 139, 43, 118, 337)
Case 94 (10, 235, 86, 53, 133, 312)
Case 95 (38, 254, 162, 41, 107, 328)
Case 96 (35, 246, 120, 40, 125, 278)
Case 97 (26, 214, 120, 45, 129, 270)
Case 98 (33, 218, 103, 45, 119, 265)
Case 99 (41, 244, 92, 42, 110, 296)
Case 100 (41, 243, 164, 38, 122, 256)
Case 101 (9, 307, 133, 35, 107, 267)
Case 102 (44, 256, 141, 40, 149, 298)
Case 103 (24, 249, 140, 44, 101, 284)
Case 104 (50, 244, 124, 31, 170, 291)
Case 105 (35, 313, 170, 38, 111, 243)
Case 106 (38, 284, 132, 38, 104, 306)
Case 107 (30, 206, 101, 45, 145, 289)
Case 108 (31, 336, 142, 44, 112, 308)
Case 109 (8, 159, 70, 47, 112, 256)
Case 110 (5, 238, 131, 41, 119, 312)
Case 111 (30, 233, 124, 46, 119, 275)
Case 112 (29, 253, 91, 42, 129, 323)
Case 113 (26, 281, 98, 44, 114, 303)
Case 114 (45, 222, 77, 51, 142, 370)
Case 115 (12, 220, 118, 35, 103, 233)
Case 116 (15, 244, 143, 31, 95, 233)
Case 117 (6, 253, 135, 45, 162, 318)
Case 118 (39, 247, 148, 38, 137, 306)
Case 119 (16, 283, 63, 50, 124, 344)
Case 120 (44, 243, 150, 32, 110, 277)
Case 121 (13, 258, 92, 43, 93, 262)
Case 122 (28, 202, 102, 47, 156, 299)
Case 123 (40, 316, 139, 35, 91, 298)
Case 124 (98, 224, 94, 40, 112, 299)
Case 125 (50, 377, 185, 37, 149, 297)
Case 126 (36, 327, 154, 60, 161, 348)
Case 127 (35, 349, 196, 45, 113, 296)
Case 128 (47, 237, 148, 37, 158, 322)
Case 129 (26, 251, 122, 37, 99, 272)
Case 130 (5, 158, 51, 43, 122, 251)
Case 131 (35, 230, 88, 40, 92, 275)
Case 132 (12, 270, 119, 37, 100, 264)
Case 133 (31, 321, 121, 43, 78, 279)
Case 134 (3, 287, 178, 53, 130, 273)
Case 135 (15, 212, 166, 39, 204, 267)
Case 136 (40, 189, 97, 43, 115, 281)
Case 137 (33, 279, 124, 45, 109, 247)
Case 138 (27, 223, 96, 37, 123, 310)
Case 139 (41, 225, 132, 47, 185, 304)
Case 140 (34, 293, 132, 40, 112, 283)
Case 141 (21, 258, 99, 44, 117, 316)
Case 142 (32, 303, 133, 48, 107, 323)
Case 143 (31, 284, 158, 45, 134, 296)
Case 144 (53, 239, 152, 40, 146, 270)
Case 145 (32, 262, 170, 42, 169, 332)
Case 146 (13, 214, 94, 41, 122, 311)
Case 147 (41, 307, 148, 39, 132, 339)
Case 148 (11, 310, 152, 49, 107, 311)
Case 149 (41, 231, 124, 53, 136, 319)
Case 150 (28, 227, 101, 45, 116, 282)
Case 151 (98, 203, 147, 47, 151, 288)
Case 152 (16, 248, 98, 42, 98, 300)
Case 153 (4, 170, 90, 47, 143, 278)
Case 154 (35, 304, 175, 34, 122, 310)
Case 155 (14, 292, 153, 44, 106, 261)
Case 156 (31, 329, 199, 47, 130, 300)
Case 157 (29, 311, 142, 39, 97, 295)
Case 158 (24, 173, 110, 50, 138, 285)
Case 159 (21, 271, 126, 39, 98, 277)
Case 160 (25, 139, 84, 39, 110, 276)
Case 161 (23, 318, 147, 38, 134, 313)
Case 162 (73, 201, 77, 33, 77, 221)
Case 163 (26, 296, 169, 49, 130, 350)
Case 164 (28, 229, 103, 37, 117, 263)
Case 165 (101, 325, 166, 43, 130, 100)
Case 166 (27, 211, 104, 43, 113, 258)
Case 167 (35, 307, 165, 43, 114, 288)
Case 168 (30, 287, 134, 46, 109, 243)
Case 169 (43, 215, 94, 38, 118, 319)
Case 170 (103, 344, 195, 50, 115, 309)
Case 171 (100, 270, 130, 43, 106, 265)
Case 172 (35, 164, 133, 35, 197, 278)
Case 173 (31, 278, 159, 44, 109, 278)
Case 174 (20, 282, 129, 33, 99, 258)
Case 175 (43, 294, 103, 42, 136, 299)
Case 176 (50, 345, 165, 45, 141, 370)
Case 177 (26, 243, 105, 39, 90, 271)
Case 178 (23, 285, 172, 35, 137, 269)
Case 179 (26, 237, 88, 45, 133, 304)
Case 180 (17, 252, 114, 46, 127, 269)
Case 181 (35, 269, 101, 40, 105, 273)
Case 182 (48, 254, 145, 37, 137, 335)
Case 183 (39, 173, 100, 48, 117, 268)
Case 184 (91, 223, 139, 45, 163, 307)
Case 185 (34, 260, 135, 54, 162, 378)
Case 186 (108, 223, 91, 50, 138, 308)
Case 187 (20, 221, 103, 38, 119, 262)
Case 188 (27, 201, 128, 36, 162, 241)
Case 189 (111, 230, 100, 42, 129, 305)
Case 190 (36, 213, 99, 44, 128, 311)
Case 191 (36, 262, 122, 46, 104, 300)
Case 192 (105, 175, 96, 38, 190, 363)
Case 193 (27, 233, 135, 37, 104, 247)
Case 194 (101, 232, 96, 45, 127, 109)
Case 195 (30, 289, 91, 43, 116, 323)
Case 196 (50, 245, 122, 39, 110, 312)
Case 197 (27, 287, 148, 41, 152, 307)
Case 198 (101, 219, 105, 41, 114, 318)
Case 199 (38, 143, 98, 35, 157, 316)
Case 200 (28, 250, 95, 41, 112, 310)
Case 201 (20, 229, 101, 40, 141, 343)
Case 202 (48, 295, 154, 37, 106, 276)
Case 203 (101, 171, 116, 36, 119, 245)
Case 204 (25, 294, 136, 44, 136, 339)
Case 205 (36, 253, 142, 44, 119, 248)
Case 206 (45, 300, 204, 36, 126, 317)
Case 207 (90, 221, 102, 55, 118, 305)
Case 208 (33, 324, 123, 43, 109, 313)
Case 209 (38, 272, 122, 42, 112, 304)
max and min x:  3.0 170.0
max and min y:  130.0 526.0
max and min z:  51.0 545.0

Process finished with exit code 0
